Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip,Taxpayer_County,Location_Number,Location_Name,Location_Address,Location_City,Location_State,Location_Zip,Location_County,TABC_Permit_Number,Inside/Outside_City_Limits,Responsibility_Begin_Date,Responsibility_End_Date,Obligation_End_Date,Liquor_Receipts,Wine_Receipts,Beer_Receipts,Cover_Charge_Receipts,Total_Receipts
17423809288,"ROCK-N-P, INC.",850 COUNTY ROAD 255,GEORGETOWN,TX,78633,246,2,REUNION RANCH,880 COUNTY ROAD 255,GEORGETOWN,TX,78633,246,MB869079,N,04/09/2014,,12/31/2017,$941,$120,$449,$0,$1510
32033439863,ISH LLC,1514 COLTON WAY,CEDAR PARK,TX,78613,246,1,ISH LLC,602 MCNEIL RD STE 112,ROUND ROCK,TX,78681,246,MB690360,Y,04/16/2008,,12/31/2017,$3307,$1516,$1012,$0,$5835
17426162909,"CABANA BEVERAGES, INC.",8111 MAINLAND DR STE 104,SAN ANTONIO,TX,78240,15,38,TACO CABANA,2110 S INTERSTATE 35,ROUND ROCK,TX,78681,246,MB236668,Y,12/01/1993,,12/31/2017,$1696,$0,$552,$0,$2248
32057096334,"BICKLE ENTERPRISES, LLC",125 BLUEBELL DR,GEORGETOWN,TX,78633,246,1,LEGACY HILLS GRILLE,301 DEL WEBB BLVD,GEORGETOWN,TX,78633,246,MB918294,Y,08/21/2015,,12/31/2017,$4753,$7793,$1302,$0,$13848
12053167511,"ISLAMORADA FISH COMPANY TEXAS, LLC",2500 E KEARNEY ST,SPRINGFIELD,MO,65898,0,9,UNCLE BUCK'S FISHBOWL AND GRILL,200 BASS PRO DR,ROUND ROCK,TX,78665,246,MB910335,Y,06/09/2015,,12/31/2017,$15993,$16652,$2446,$0,$35091
32060142067,"ALCOVE CANTINA, LLC",110 S LAMPASAS ST STE 2,ROUND ROCK,TX,78664,246,1,THE ALCOVE CANTINA,119 E MAIN ST,ROUND ROCK,TX,78664,246,MB956546,Y,09/02/2016,,12/31/2017,$34400,$1289,$22125,$0,$57814
12032411980,MARIACHIS DE JALISCO INC,2803 WILLIAMS DR STE 110,GEORGETOWN,TX,78628,246,8,TEQUILA BAR & GRILL,1151 UNIVERSITY BLVD,ROUND ROCK,TX,78665,246,MB866798,Y,03/19/2014,,12/31/2017,$13335,$0,$6072,$0,$19407
32061935915,MARY R ABEITA,2013 LANTANA DR,ROUND ROCK,TX,78664,246,1,RECUERDOS TEX MEX,109 W MAIN ST,ROUND ROCK,TX,78664,246,MB977100,Y,03/27/2017,,12/31/2017,$1128,$0,$295,$0,$1423
12032411980,MARIACHIS DE JALISCO INC,2803 WILLIAMS DR STE 110,GEORGETOWN,TX,78628,246,6,MARIACHIS DE JALISCO MEXICAN RESTAURANT #3,3100 N MAIN ST,TAYLOR,TX,76574,246,RM706496,Y,10/23/2008,,12/31/2017,$3176,$0,$3564,$0,$6740
10506225050,"SERRANO'S CAFE AND CANTINA LL, LTD.",2499 S CAPITAL OF TEXAS HWY STE A102,AUSTIN,TX,78746,227,1,"SERRANO'S CAFE AND CANTINA LL, LTD",11100 PECAN PARK BLVD,CEDAR PARK,TX,78613,246,MB648674,Y,08/30/2005,,12/31/2017,$30371,$1638,$7845,$0,$39854
13420667274,ED & BUD L.L.C.,30030 OAKLAND HILLS DR,GEORGETOWN,TX,78628,246,1,HARDTAILS,1515 N IH 35,GEORGETOWN,TX,78628,246,MB673462,Y,10/09/2007,,12/31/2017,$25856,$1432,$31798,$0,$59086
