Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip,Taxpayer_County,Location_Number,Location_Name,Location_Address,Location_City,Location_State,Location_Zip,Location_County,TABC_Permit_Number,Inside/Outside_City_Limits,Responsibility_Begin_Date,Responsibility_End_Date,Obligation_End_Date,Liquor_Receipts,Wine_Receipts,Beer_Receipts,Cover_Charge_Receipts,Total_Receipts
32018322779,CAROLYN LEE EHRIG,519 E DAVIS ST,LULING,TX,78648,28,1,THE COFFEE SHOP,519 E DAVIS ST,LULING,TX,78648,28,MB854259,Y,10/11/2013,,12/31/2017,$0,$0,$0,$0,$0
32047616621,"HIDEOUS, L.C.",314 CITRUS RD,RIVER RIDGE,LA,70123,0,1,"HIDEOUS, L.C.",5276 BARTH RD,LOCKHART,TX,78644,28,D 808417,N,09/01/2013,,12/31/2017,$0,$0,$0,$0,$0
32055732781,BRAISE BISTRO LLC,907 RANCH ROAD 620 S STE 302,LAKEWAY,TX,78734,227,1,LOCKHART BISTRO,119 E SAN ANTONIO ST,LOCKHART,TX,78644,28,MB918881,Y,08/31/2015,,12/31/2017,$4479,$1928,$1317,$0,$7724
32058229710,"MAIN STREET PEARL, LLC",PO BOX 922,LOCKHART,TX,78644,28,1,THE PEARL,110 N MAIN ST,LOCKHART,TX,78644,28,MB926749,Y,11/12/2015,,12/31/2017,$9516,$931,$5547,$320,$16314
32050491656,AUSTRIAN FARMS OF TEXAS LLC,4607 FM 86,LULING,TX,78648,28,1,AUSTRIAN FARMS OF TEXAS LLC,4607 FM 86,LULING,TX,78648,28,D 964394,N,11/16/2016,,12/31/2017,$20,$0,$0,$0,$20
32037618868,DOMINGO M SANCHEZ SR,1100 BRUSHY BRANCH RD,LOCKHART,TX,78644,28,3,GUADALAJARA MEXICAN RESTAURANT,1710 S COLORADO ST STE 110,LOCKHART,TX,78644,28,MB787560,Y,06/15/2012,,12/31/2017,$11770,$0,$5495,$0,$17265
32037618868,DOMINGO M SANCHEZ SR,1100 BRUSHY BRANCH RD,LOCKHART,TX,78644,28,5,EL REY BAR/NIGHTCLUB,1721 S COMMERCE ST,LOCKHART,TX,78644,28,MB994240,Y,09/14/2017,,12/31/2017,$7930,$17,$14136,$0,$22083
